station identifier,data,observation type,observation value,TMAX_F
ITE00100550,18640925,TMAX,234,453.2
ITE00100550,18640610,TMAX,234,453.2
ITE00100550,18640924,TMAX,234,453.2
ITE00100550,18640426,TMAX,234,453.2
ITE00100550,18640614,TMAX,238,460.40000000000003
ITE00100550,18640523,TMAX,238,460.40000000000003
ITE00100550,18640531,TMAX,238,460.40000000000003
ITE00100550,18640829,TMAX,243,469.40000000000003
ITE00100550,18640629,TMAX,244,471.2
ITE00100550,18640830,TMAX,244,471.2
ITE00100550,18640517,TMAX,245,473.0
ITE00100550,18640916,TMAX,246,474.8
ITE00100550,18640518,TMAX,246,474.8
ITE00100550,18640615,TMAX,248,478.40000000000003
ITE00100550,18640530,TMAX,248,478.40000000000003
ITE00100550,18640919,TMAX,249,480.2
ITE00100550,18640813,TMAX,250,482.0
ITE00100550,18640814,TMAX,250,482.0
ITE00100550,18640427,TMAX,251,483.8
ITE00100550,18640714,TMAX,254,489.2
ITE00100550,18640917,TMAX,254,489.2
ITE00100550,18640703,TMAX,255,491.0
ITE00100550,18640704,TMAX,259,498.2
ITE00100550,18640508,TMAX,260,500.0
ITE00100550,18640611,TMAX,260,500.0
ITE00100550,18640617,TMAX,261,501.8
ITE00100550,18640625,TMAX,263,505.40000000000003
ITE00100550,18640819,TMAX,263,505.40000000000003
ITE00100550,18640616,TMAX,264,507.2
ITE00100550,18640521,TMAX,264,507.2
ITE00100550,18640710,TMAX,265,509.0
ITE00100550,18640519,TMAX,265,509.0
ITE00100550,18640812,TMAX,266,510.8
ITE00100550,18640918,TMAX,268,514.4000000000001
ITE00100550,18640912,TMAX,268,514.4000000000001
ITE00100550,18640906,TMAX,268,514.4000000000001
ITE00100550,18640831,TMAX,268,514.4000000000001
ITE00100550,18640604,TMAX,270,518.0
ITE00100550,18640520,TMAX,270,518.0
ITE00100550,18640702,TMAX,271,519.8
ITE00100550,18640626,TMAX,271,519.8
ITE00100550,18640607,TMAX,273,523.4000000000001
ITE00100550,18640811,TMAX,274,525.2
ITE00100550,18640608,TMAX,275,527.0
ITE00100550,18640630,TMAX,275,527.0
ITE00100550,18640902,TMAX,275,527.0
ITE00100550,18640621,TMAX,278,532.4000000000001
ITE00100550,18640618,TMAX,278,532.4000000000001
ITE00100550,18640620,TMAX,280,536.0
ITE00100550,18640603,TMAX,280,536.0
ITE00100550,18640815,TMAX,281,537.8
ITE00100550,18640705,TMAX,281,537.8
ITE00100550,18640711,TMAX,281,537.8
ITE00100550,18640701,TMAX,284,543.2
ITE00100550,18640911,TMAX,284,543.2
ITE00100550,18640627,TMAX,285,545.0
ITE00100550,18640724,TMAX,285,545.0
ITE00100550,18640818,TMAX,285,545.0
ITE00100550,18640707,TMAX,285,545.0
ITE00100550,18640613,TMAX,285,545.0
ITE00100550,18640715,TMAX,288,550.4
ITE00100550,18640817,TMAX,288,550.4
ITE00100550,18640709,TMAX,288,550.4
ITE00100550,18640726,TMAX,288,550.4
ITE00100550,18640605,TMAX,288,550.4
ITE00100550,18640820,TMAX,290,554.0
ITE00100550,18640907,TMAX,290,554.0
ITE00100550,18640725,TMAX,291,555.8000000000001
ITE00100550,18640825,TMAX,293,559.4
ITE00100550,18640619,TMAX,293,559.4
ITE00100550,18640901,TMAX,293,559.4
ITE00100550,18640729,TMAX,295,563.0
ITE00100550,18640606,TMAX,296,564.8000000000001
ITE00100550,18640824,TMAX,296,564.8000000000001
ITE00100550,18640612,TMAX,296,564.8000000000001
ITE00100550,18640712,TMAX,298,568.4
ITE00100550,18640910,TMAX,298,568.4
ITE00100550,18640719,TMAX,298,568.4
ITE00100550,18640708,TMAX,298,568.4
ITE00100550,18640822,TMAX,298,568.4
ITE00100550,18640908,TMAX,298,568.4
ITE00100550,18640909,TMAX,299,570.2
ITE00100550,18640706,TMAX,300,572.0
ITE00100550,18640803,TMAX,300,572.0
ITE00100550,18640623,TMAX,300,572.0
ITE00100550,18640713,TMAX,303,577.4
ITE00100550,18640717,TMAX,304,579.2
ITE00100550,18640727,TMAX,306,582.8000000000001
ITE00100550,18640718,TMAX,308,586.4
ITE00100550,18640821,TMAX,309,588.2
ITE00100550,18640624,TMAX,309,588.2
ITE00100550,18640728,TMAX,310,590.0
ITE00100550,18640716,TMAX,310,590.0
ITE00100550,18640804,TMAX,310,590.0
ITE00100550,18640807,TMAX,310,590.0
ITE00100550,18640823,TMAX,313,595.4
ITE00100550,18640730,TMAX,313,595.4
ITE00100550,18640731,TMAX,313,595.4
ITE00100550,18640622,TMAX,313,595.4
ITE00100550,18640720,TMAX,315,599.0
ITE00100550,18640723,TMAX,318,604.4
ITE00100550,18640816,TMAX,319,606.2
ITE00100550,18640810,TMAX,321,609.8000000000001
ITE00100550,18640722,TMAX,321,609.8000000000001
ITE00100550,18640721,TMAX,325,617.0
ITE00100550,18640806,TMAX,331,627.8000000000001
ITE00100550,18640805,TMAX,335,635.0
ITE00100550,18640801,TMAX,335,635.0
ITE00100550,18640808,TMAX,341,645.8000000000001
ITE00100550,18640802,TMAX,346,654.8000000000001
ITE00100550,18640809,TMAX,348,658.4
