id;project;connector_type;t;delta_t;url;redirect_url;response_size;response_code;success;error
69;sotu;requests;1566732128.2438505;-0.711559534072876;https://millercenter.org/the-presidency/presidential-speeches/december-6-1932-fourth-state-union-address;https://millercenter.org/the-presidency/presidential-speeches/december-6-1932-fourth-state-union-address;75260;200;True;
70;sotu;requests;1566732129.55344;-1.6489372253417969;https://millercenter.org/the-presidency/presidential-speeches/december-8-1931-third-state-union-address;https://millercenter.org/the-presidency/presidential-speeches/december-8-1931-third-state-union-address;88802;200;True;
71;sotu;requests;1566732131.8034875;-1.2821564674377441;https://millercenter.org/the-presidency/presidential-speeches/december-2-1930-second-state-union-address;https://millercenter.org/the-presidency/presidential-speeches/december-2-1930-second-state-union-address;82831;200;True;
72;sotu;requests;1566732133.6958487;-1.2504961490631104;https://millercenter.org/the-presidency/presidential-speeches/december-3-1929-first-state-union-address;https://millercenter.org/the-presidency/presidential-speeches/december-3-1929-first-state-union-address;122821;200;True;
73;sotu;requests;1566732135.570822;-1.418569564819336;https://millercenter.org/the-presidency/presidential-speeches/march-4-1929-inaugural-address;https://millercenter.org/the-presidency/presidential-speeches/march-4-1929-inaugural-address;76469;200;True;
74;sotu;requests;1566732137.5931387;-1.3147797584533691;https://millercenter.org/the-presidency/presidential-speeches/december-4-1928-sixth-annual-message;https://millercenter.org/the-presidency/presidential-speeches/december-4-1928-sixth-annual-message;99091;200;True;
75;sotu;requests;1566732139.504408;-1.1957683563232422;https://millercenter.org/the-presidency/presidential-speeches/december-6-1927-fifth-annual-message;https://millercenter.org/the-presidency/presidential-speeches/december-6-1927-fifth-annual-message;103689;200;True;
76;sotu;requests;1566732141.3013818;-0.979771614074707;https://millercenter.org/the-presidency/presidential-speeches/december-7-1926-fourth-annual-message;https://millercenter.org/the-presidency/presidential-speeches/december-7-1926-fourth-annual-message;113550;200;True;
77;sotu;requests;1566732142.8698175;-1.359036922454834;https://millercenter.org/the-presidency/presidential-speeches/december-8-1925-third-annual-message;https://millercenter.org/the-presidency/presidential-speeches/december-8-1925-third-annual-message;118194;200;True;
78;sotu;requests;1566732144.8345134;-1.3757314682006836;https://millercenter.org/the-presidency/presidential-speeches/march-4-1925-inaugural-address;https://millercenter.org/the-presidency/presidential-speeches/march-4-1925-inaugural-address;76274;200;True;
79;sotu;requests;1566732146.8563714;-1.4320683479309082;https://millercenter.org/the-presidency/presidential-speeches/december-3-1924-second-annual-message;https://millercenter.org/the-presidency/presidential-speeches/december-3-1924-second-annual-message;95776;200;True;
80;sotu;requests;1566732148.8996341;-1.1941323280334473;https://millercenter.org/the-presidency/presidential-speeches/december-6-1923-first-annual-message;https://millercenter.org/the-presidency/presidential-speeches/december-6-1923-first-annual-message;94871;200;True;
81;sotu;requests;1566732150.766646;-1.2772390842437744;https://millercenter.org/the-presidency/presidential-speeches/december-8-1922-second-annual-message;https://millercenter.org/the-presidency/presidential-speeches/december-8-1922-second-annual-message;84047;200;True;
82;sotu;requests;1566732152.6355624;-0.6576187610626221;https://millercenter.org/the-presidency/presidential-speeches/december-6-1921-first-annual-message;https://millercenter.org/the-presidency/presidential-speeches/december-6-1921-first-annual-message;83989;200;True;
83;sotu;requests;1566732153.9574668;-0.9596118927001953;https://millercenter.org/the-presidency/presidential-speeches/march-4-1921-inaugural-address;https://millercenter.org/the-presidency/presidential-speeches/march-4-1921-inaugural-address;71445;200;True;
84;sotu;requests;1566732155.5166526;-1.1278667449951172;https://millercenter.org/the-presidency/presidential-speeches/december-7-1920-eighth-annual-message;https://millercenter.org/the-presidency/presidential-speeches/december-7-1920-eighth-annual-message;64461;200;True;
85;sotu;requests;1566732157.233284;-0.7020812034606934;https://millercenter.org/the-presidency/presidential-speeches/december-2-1919-seventh-annual-message;https://millercenter.org/the-presidency/presidential-speeches/december-2-1919-seventh-annual-message;77624;200;True;
86;sotu;requests;1566732158.512736;-1.2873775959014893;https://millercenter.org/the-presidency/presidential-speeches/december-2-1918-sixth-annual-message;https://millercenter.org/the-presidency/presidential-speeches/december-2-1918-sixth-annual-message;80931;200;True;
87;sotu;requests;1566732160.3861604;-1.1077673435211182;https://millercenter.org/the-presidency/presidential-speeches/december-4-1917-fifth-annual-message;https://millercenter.org/the-presidency/presidential-speeches/december-4-1917-fifth-annual-message;72494;200;True;
88;sotu;requests;1566732162.0767431;-1.5322959423065186;https://millercenter.org/the-presidency/presidential-speeches/march-5-1917-second-inaugural-address;https://millercenter.org/the-presidency/presidential-speeches/march-5-1917-second-inaugural-address;61312;200;True;
89;sotu;requests;1566732164.2062874;-1.6180670261383057;https://millercenter.org/the-presidency/presidential-speeches/december-5-1916-fourth-annual-message;https://millercenter.org/the-presidency/presidential-speeches/december-5-1916-fourth-annual-message;65792;200;True;
90;sotu;requests;1566732166.4197102;-1.2344012260437012;https://millercenter.org/the-presidency/presidential-speeches/december-7-1915-third-annual-message;https://millercenter.org/the-presidency/presidential-speeches/december-7-1915-third-annual-message;97852;200;True;
91;sotu;requests;1566732168.2742934;-1.3262028694152832;https://millercenter.org/the-presidency/presidential-speeches/december-8-1914-second-annual-message;https://millercenter.org/the-presidency/presidential-speeches/december-8-1914-second-annual-message;78552;200;True;
92;sotu;requests;1566732170.1966715;-1.554192304611206;https://millercenter.org/the-presidency/presidential-speeches/december-2-1913-first-annual-message;https://millercenter.org/the-presidency/presidential-speeches/december-2-1913-first-annual-message;73452;200;True;
93;sotu;requests;1566732172.3297536;-1.098071575164795;https://millercenter.org/the-presidency/presidential-speeches/march-4-1913-first-inaugural-address;https://millercenter.org/the-presidency/presidential-speeches/march-4-1913-first-inaugural-address;62430;200;True;
94;sotu;requests;1566732174.01883;-1.0483043193817139;https://millercenter.org/the-presidency/presidential-speeches/december-3-1912-fourth-annual-message;https://millercenter.org/the-presidency/presidential-speeches/december-3-1912-fourth-annual-message;202648;200;True;
95;sotu;requests;1566732175.6813853;-1.1341054439544678;https://millercenter.org/the-presidency/presidential-speeches/december-5-1911-third-annual-message;https://millercenter.org/the-presidency/presidential-speeches/december-5-1911-third-annual-message;194443;200;True;
96;sotu;requests;1566732177.4319909;-1.5129926204681396;https://millercenter.org/the-presidency/presidential-speeches/december-6-1910-second-annual-message;https://millercenter.org/the-presidency/presidential-speeches/december-6-1910-second-annual-message;220337;200;True;
97;sotu;requests;1566732179.7680016;-1.5075054168701172;https://millercenter.org/the-presidency/presidential-speeches/december-7-1909-first-annual-message;https://millercenter.org/the-presidency/presidential-speeches/december-7-1909-first-annual-message;137085;200;True;
98;sotu;requests;1566732181.8828812;-1.5604794025421143;https://millercenter.org/the-presidency/presidential-speeches/march-4-1909-inaugural-address;https://millercenter.org/the-presidency/presidential-speeches/march-4-1909-inaugural-address;84528;200;True;
99;sotu;requests;1566732184.0653584;-1.4113318920135498;https://millercenter.org/the-presidency/presidential-speeches/december-9-1908-eighth-annual-message;https://millercenter.org/the-presidency/presidential-speeches/december-9-1908-eighth-annual-message;164540;200;True;
100;sotu;requests;1566732186.073067;-1.6474614143371582;https://millercenter.org/the-presidency/presidential-speeches/december-3-1907-seventh-annual-message;https://millercenter.org/the-presidency/presidential-speeches/december-3-1907-seventh-annual-message;212164;200;True;
101;sotu;requests;1566732188.332996;-0.9718539714813232;https://millercenter.org/the-presidency/presidential-speeches/december-3-1906-sixth-annual-message;https://millercenter.org/the-presidency/presidential-speeches/december-3-1906-sixth-annual-message;189813;200;True;
102;sotu;requests;1566732189.9424238;-1.3194129467010498;https://millercenter.org/the-presidency/presidential-speeches/december-5-1905-fifth-annual-message;https://millercenter.org/the-presidency/presidential-speeches/december-5-1905-fifth-annual-message;200419;200;True;
103;sotu;requests;1566732191.88583;-1.061126947402954;https://millercenter.org/the-presidency/presidential-speeches/march-4-1905-inaugural-address;https://millercenter.org/the-presidency/presidential-speeches/march-4-1905-inaugural-address;58260;200;True;
104;sotu;requests;1566732193.5414445;-1.0329108238220215;https://millercenter.org/the-presidency/presidential-speeches/december-6-1904-fourth-annual-message;https://millercenter.org/the-presidency/presidential-speeches/december-6-1904-fourth-annual-message;157410;200;True;
105;sotu;requests;1566732195.276938;-1.931070327758789;https://millercenter.org/the-presidency/presidential-speeches/december-7-1903-third-annual-message;https://millercenter.org/the-presidency/presidential-speeches/december-7-1903-third-annual-message;143928;200;True;
106;sotu;requests;1566732197.849243;-1.2176730632781982;https://millercenter.org/the-presidency/presidential-speeches/december-2-1902-second-annual-message;https://millercenter.org/the-presidency/presidential-speeches/december-2-1902-second-annual-message;111441;200;True;
107;sotu;requests;1566732199.6861753;-1.1637170314788818;https://millercenter.org/the-presidency/presidential-speeches/december-3-1901-first-annual-message;https://millercenter.org/the-presidency/presidential-speeches/december-3-1901-first-annual-message;170237;200;True;
108;sotu;requests;1566732201.5187843;-1.2993721961975098;https://millercenter.org/the-presidency/presidential-speeches/march-4-1901-second-inaugural-address;https://millercenter.org/the-presidency/presidential-speeches/march-4-1901-second-inaugural-address;62356;200;True;
109;sotu;requests;1566732203.4411347;-0.862689733505249;https://millercenter.org/the-presidency/presidential-speeches/december-3-1900-fourth-annual-message;https://millercenter.org/the-presidency/presidential-speeches/december-3-1900-fourth-annual-message;169199;200;True;
110;sotu;requests;1566732204.9868228;-0.9549999237060547;https://millercenter.org/the-presidency/presidential-speeches/december-5-1899-third-annual-message;https://millercenter.org/the-presidency/presidential-speeches/december-5-1899-third-annual-message;191137;200;True;
111;sotu;requests;1566732206.7138267;-1.0539991855621338;https://millercenter.org/the-presidency/presidential-speeches/december-5-1898-second-annual-message;https://millercenter.org/the-presidency/presidential-speeches/december-5-1898-second-annual-message;175493;200;True;
112;sotu;requests;1566732208.5998607;-1.2988722324371338;https://millercenter.org/the-presidency/presidential-speeches/december-6-1897-first-annual-message;https://millercenter.org/the-presidency/presidential-speeches/december-6-1897-first-annual-message;125624;200;True;
113;sotu;requests;1566732210.524698;-1.6777455806732178;https://millercenter.org/the-presidency/presidential-speeches/march-4-1897-first-inaugural-address;https://millercenter.org/the-presidency/presidential-speeches/march-4-1897-first-inaugural-address;76071;200;True;
114;sotu;requests;1566732212.796161;-0.9821076393127441;https://millercenter.org/the-presidency/presidential-speeches/december-7-1896-fourth-annual-message-second-term;https://millercenter.org/the-presidency/presidential-speeches/december-7-1896-fourth-annual-message-second-term;145376;200;True;
115;sotu;requests;1566732214.5322616;-1.4576594829559326;https://millercenter.org/the-presidency/presidential-speeches/december-2-1895-third-annual-message-second-term;https://millercenter.org/the-presidency/presidential-speeches/december-2-1895-third-annual-message-second-term;141900;200;True;
116;sotu;requests;1566732216.7414715;-1.2001166343688965;https://millercenter.org/the-presidency/presidential-speeches/december-3-1894-second-annual-message-second-term;https://millercenter.org/the-presidency/presidential-speeches/december-3-1894-second-annual-message-second-term;151910;200;True;
117;sotu;requests;1566732218.6176436;-1.5916507244110107;https://millercenter.org/the-presidency/presidential-speeches/december-4-1893-first-annual-message-second-term;https://millercenter.org/the-presidency/presidential-speeches/december-4-1893-first-annual-message-second-term;130684;200;True;
